frequency,universe,estimator,allocator,window,cost_bps,sigma_method,sharpe,sharpe_net,ann_return_net,ann_volatility,max_drawdown,calmar,avg_turnover,avg_enb,avg_dr,sharpe_per_turnover
quarterly,us_sector_etf,rmt_rie,equal_weight,252,10.000000,median_bulk,0.606356,0.605397,0.094860,0.176581,0.249202,0.381412,0.044542,12.757917,1.435821,13.591731
quarterly,us_sector_etf,rmt_rie,inverse_variance,252,10.000000,median_bulk,0.451828,0.448829,0.043831,0.108821,0.143934,0.306893,0.082930,14.163435,1.719322,5.412126
quarterly,us_sector_etf,rmt_rie,minimum_variance,252,10.000000,median_bulk,0.397682,0.393315,0.035416,0.101562,0.154419,0.232471,0.119022,5.391454,1.867094,3.304565
quarterly,us_sector_etf,rmt_rie,risk_parity,252,10.000000,median_bulk,0.545718,0.543300,0.052600,0.104763,0.144376,0.366227,0.066508,16.000000,1.794447,8.169001
quarterly,us_sector_etf,rmt_rie,hrp,252,10.000000,median_bulk,0.382471,0.376934,0.029784,0.088173,0.139715,0.216815,0.124781,9.054896,1.761919,3.020776
quarterly,us_sector_etf,rmt_rie,max_diversification,252,10.000000,median_bulk,0.484422,0.476461,0.040861,0.093542,0.150690,0.276422,0.193700,5.906034,2.012966,2.459782
quarterly,us_sector_etf,factor_model,equal_weight,252,10.000000,median_bulk,0.606356,0.605397,0.094860,0.176581,0.249202,0.381412,0.044542,12.737984,1.388115,13.591731
quarterly,us_sector_etf,factor_model,inverse_variance,252,10.000000,median_bulk,0.450657,0.447674,0.043823,0.109194,0.143155,0.308505,0.082668,13.694707,1.706463,5.415322
quarterly,us_sector_etf,factor_model,minimum_variance,252,10.000000,median_bulk,0.420275,0.414790,0.037348,0.100486,0.139860,0.271160,0.140510,5.028357,2.029399,2.952023
quarterly,us_sector_etf,factor_model,risk_parity,252,10.000000,median_bulk,0.524080,0.521277,0.048282,0.100315,0.145880,0.333018,0.072538,16.000000,1.895462,7.186258
quarterly,us_sector_etf,factor_model,hrp,252,10.000000,median_bulk,0.353581,0.348187,0.026904,0.087018,0.155807,0.175776,0.118636,8.363396,1.789001,2.934922
quarterly,us_sector_etf,factor_model,max_diversification,252,10.000000,median_bulk,0.396560,0.390990,0.030177,0.085405,0.118379,0.259109,0.121522,4.766814,2.318049,3.217442
